street_id,street_name,house,sub_house,is_available,full_address,latitude,longitude,gis_full_name,provider
402,микрорайон Айнабулак 1,4,,1,"Алматы г., микрорайон Айнабулак 1, 4",43.321439,76.91204,"Алматы, Айнабулак 1-й микрорайон, 4",beeline
402,микрорайон Айнабулак 1,5,,1,"Алматы г., микрорайон Айнабулак 1, 5",43.321683,76.911646,"Алматы, Айнабулак 1-й микрорайон, 5",beeline
402,микрорайон Айнабулак 1,8,,1,"Алматы г., микрорайон Айнабулак 1, 8",43.322567,76.911296,"Алматы, Айнабулак 1-й микрорайон, 8",beeline
402,микрорайон Айнабулак 1,11,,1,"Алматы г., микрорайон Айнабулак 1, 11",43.322437,76.910054,"Алматы, Айнабулак 1-й микрорайон, 11",beeline
403,микрорайон Айнабулак 2,51,,1,"Алматы г., микрорайон Айнабулак 2, 51",43.316065,76.913115,"Алматы, Айнабулак 2 микрорайон, 51",beeline
403,микрорайон Айнабулак 2,53,,1,"Алматы г., микрорайон Айнабулак 2, 53",43.315798,76.913529,"Алматы, Айнабулак 2 микрорайон, 53",beeline
403,микрорайон Айнабулак 2,82,,1,"Алматы г., микрорайон Айнабулак 2, 82",43.317887,76.916462,"Алматы, Айнабулак 2 микрорайон, 82",beeline
403,микрорайон Айнабулак 2,83,,1,"Алматы г., микрорайон Айнабулак 2, 83",43.318402,76.91585,"Алматы, Айнабулак 2 микрорайон, 83",beeline
403,микрорайон Айнабулак 2,85,,1,"Алматы г., микрорайон Айнабулак 2, 85",43.318975,76.916649,"Алматы, Айнабулак, жилой комплекс",beeline
403,микрорайон Айнабулак 2,85а,,1,"Алматы г., микрорайон Айнабулак 2, 85а",43.319264,76.916201,"Алматы, Айнабулак, жилой комплекс",beeline
403,микрорайон Айнабулак 2,85 Б,,1,"Алматы г., микрорайон Айнабулак 2, 85 Б",43.319419,76.916585,"Алматы, Айнабулак, жилой комплекс",beeline
404,микрорайон Айнабулак 3,100,,1,"Алматы г., микрорайон Айнабулак 3, 100",43.32075,76.918648,"Алматы, микрорайон Айнабулак 3, 100",beeline
404,микрорайон Айнабулак 3,101,,1,"Алматы г., микрорайон Айнабулак 3, 101",43.321317,76.919492,"Алматы, микрорайон Айнабулак 3, 101",beeline
404,микрорайон Айнабулак 3,102,,1,"Алматы г., микрорайон Айнабулак 3, 102",43.321994,76.919909,"Алматы, микрорайон Айнабулак 3, 102",beeline
404,микрорайон Айнабулак 3,104,,1,"Алматы г., микрорайон Айнабулак 3, 104",43.324068,76.918384,"Алматы, микрорайон Айнабулак 3, 104",beeline
404,микрорайон Айнабулак 3,105,,1,"Алматы г., микрорайон Айнабулак 3, 105",43.323494,76.918529,"Алматы, микрорайон Айнабулак 3, 105",beeline
404,микрорайон Айнабулак 3,106,,1,"Алматы г., микрорайон Айнабулак 3, 106",43.323696,76.918964,"Алматы, микрорайон Айнабулак 3, 106",beeline
404,микрорайон Айнабулак 3,107,,1,"Алматы г., микрорайон Айнабулак 3, 107",43.324039,76.919174,"Алматы, микрорайон Айнабулак 3, 107",beeline
404,микрорайон Айнабулак 3,108,,1,"Алматы г., микрорайон Айнабулак 3, 108",43.323455,76.919371,"Алматы, микрорайон Айнабулак 3, 108",beeline
404,микрорайон Айнабулак 3,109,,1,"Алматы г., микрорайон Айнабулак 3, 109",43.322934,76.91943,"Алматы, микрорайон Айнабулак 3, 109",beeline
404,микрорайон Айнабулак 3,110,,1,"Алматы г., микрорайон Айнабулак 3, 110",43.323136,76.919864,"Алматы, микрорайон Айнабулак 3, 110",beeline
404,микрорайон Айнабулак 3,111,,1,"Алматы г., микрорайон Айнабулак 3, 111",43.323479,76.920075,"Алматы, микрорайон Айнабулак 3, 111",beeline
404,микрорайон Айнабулак 3,112,,1,"Алматы г., микрорайон Айнабулак 3, 112",43.322688,76.919827,"Алматы, микрорайон Айнабулак 3, 112",beeline
403,микрорайон Айнабулак 2,81,,1,"Алматы г., микрорайон Айнабулак 2, 81",43.31754,76.916492,"Алматы, Айнабулак 2 микрорайон, 81",beeline
403,микрорайон Айнабулак 2,52,,1,"Алматы г., микрорайон Айнабулак 2, 52",43.31554,76.913053,"Алматы, Айнабулак 2 микрорайон, 52",beeline
403,микрорайон Айнабулак 2,80,,1,"Алматы г., микрорайон Айнабулак 2, 80",43.316984,76.915985,"Алматы, Айнабулак 2 микрорайон, 80",beeline
403,микрорайон Айнабулак 2,77,,1,"Алматы г., микрорайон Айнабулак 2, 77",43.317714,76.915221,"Алматы, Айнабулак 2 микрорайон, 77",beeline
403,микрорайон Айнабулак 2,54,,1,"Алматы г., микрорайон Айнабулак 2, 54",43.315125,76.912766,"Алматы, Айнабулак 2 микрорайон, 54",beeline
403,микрорайон Айнабулак 2,55,,1,"Алматы г., микрорайон Айнабулак 2, 55",43.315106,76.913447,"Алматы, Айнабулак 2 микрорайон, 55",beeline
403,микрорайон Айнабулак 2,56,,1,"Алматы г., микрорайон Айнабулак 2, 56",43.315297,76.913842,"Алматы, Айнабулак 2 микрорайон, 56",beeline
403,микрорайон Айнабулак 2,57,,1,"Алматы г., микрорайон Айнабулак 2, 57",43.315912,76.914525,"Алматы, Айнабулак 2 микрорайон, 57",beeline
403,микрорайон Айнабулак 2,58,,1,"Алматы г., микрорайон Айнабулак 2, 58",43.316212,76.915085,"Алматы, Айнабулак 2 микрорайон, 58",beeline
403,микрорайон Айнабулак 2,59,,1,"Алматы г., микрорайон Айнабулак 2, 59",43.316158,76.914144,"Алматы, Айнабулак 2 микрорайон, 59",beeline
403,микрорайон Айнабулак 2,60,,1,"Алматы г., микрорайон Айнабулак 2, 60",43.316458,76.914703,"Алматы, Айнабулак 2 микрорайон, 60",beeline
403,микрорайон Айнабулак 2,61,,1,"Алматы г., микрорайон Айнабулак 2, 61",43.316717,76.914301,"Алматы, Айнабулак 2 микрорайон, 61",beeline
403,микрорайон Айнабулак 2,62,,1,"Алматы г., микрорайон Айнабулак 2, 62",43.31669,76.913598,"Алматы, Айнабулак 2 микрорайон, 62",beeline
403,микрорайон Айнабулак 2,66,,1,"Алматы г., микрорайон Айнабулак 2, 66",43.318351,76.913208,"Алматы, Айнабулак 2 микрорайон, 66",beeline
403,микрорайон Айнабулак 2,67,,1,"Алматы г., микрорайон Айнабулак 2, 67",43.318793,76.913546,"Алматы, Айнабулак 2 микрорайон, 67",beeline
403,микрорайон Айнабулак 2,70,,1,"Алматы г., микрорайон Айнабулак 2, 70",43.318541,76.913938,"Алматы, Айнабулак 2 микрорайон, 70",beeline
403,микрорайон Айнабулак 2,71,,1,"Алматы г., микрорайон Айнабулак 2, 71",43.319201,76.914616,"Алматы, Айнабулак 2 микрорайон, 71",beeline
403,микрорайон Айнабулак 2,72,,1,"Алматы г., микрорайон Айнабулак 2, 72",43.318367,76.914412,"Алматы, Айнабулак 2 микрорайон, 72",beeline
403,микрорайон Айнабулак 2,73,,1,"Алматы г., микрорайон Айнабулак 2, 73",43.31785,76.913985,"Алматы, Айнабулак 2 микрорайон, 73",beeline
403,микрорайон Айнабулак 2,74,,1,"Алматы г., микрорайон Айнабулак 2, 74",43.317554,76.914445,"Алматы, Айнабулак 2 микрорайон, 74",beeline
