"consumer_id";"devices_count";"frequency";"recency";"monetary"
12512147;1;"58.0";"3.0";"2678.57142858"
12512153;2;"41.75";"17.0";"2678.57142858"
12512212;1;"79.0";"2.5";"2933.651785716667"
12512226;2;"60.0";"18.0";"2879.166666673333"
12512228;1;"27.0";"3.0";"1873.22321429"
12512246;2;"56.25";"3.5";"1873.21428572"
12512262;2;"19.25";"18.5";"1623.4523809599998"
12512311;2;"33.25";"2.5";"1873.21428572"
12512313;2;"77.75";"2.5";"2138.0952381"
12512314;2;"39.25";"2.0";"3116.07142858"
12512318;2;"82.5";"2.25";"2678.57142858"
12512319;1;"86.0";"2.0";"2321.42857143"
12512361;2;"30.0";"3.0";"1873.21428572"
12512363;2;"58.0";"3.75";"1873.21428572"
12512365;2;"15.5";"7.5";"1873.21428572"
12512404;2;"16.25";"2.0";"2678.57142858"
12512411;2;"45.75";"3.25";"2586.3095238"
12512414;4;"73.875";"2.25";"3746.42857144"
12512418;2;"84.0";"2.0";"2678.57142858"
12512428;2;"52.0";"3.0";"2809.83035715"
12512433;2;"68.25";"2.25";"2678.57142858"
12512438;2;"26.0";"56.0";"1873.21428572"
12512478;2;"34.0";"7.5";"2678.57142858"
12512485;2;"45.0";"7.25";"1873.21428572"
12512487;1;"49.0";"8.0";"2678.57142858"
12512490;2;"59.5";"15.5";"2170.83333334"
12512502;2;"80.0";"2.0";"2809.83035715"
12512503;2;"14.25";"5.0";"2678.57142858"
12512507;1;"31.5";"4.0";"1873.22321429"
12512530;4;"32.5";"2.5";"2708.9107142800003"
12512536;3;"25.83333333333333";"3.75";"3751.785714303334"
12512588;1;"21.0";"5.0";"1873.21428572"
12512610;2;"75.25";"2.5";"1873.21428572"
12512612;2;"64.25";"3.25";"1873.21428572"
12512641;2;"75.25";"2.5";"4122.02380952"
12512651;2;"42.0";"18.0";"2678.57142858"
12512708;2;"34.25";"6.0";"1873.21428572"
12512712;2;"56.75";"3.5";"2678.57142858"
12512720;2;"62.25";"4.25";"2946.42857142"
12512732;2;"28.5";"5.25";"2667.85714286"
12512746;1;"73.5";"2.5";"1873.21428572"
12512750;2;"38.5";"7.25";"1873.21428572"
12512764;2;"65.5";"2.25";"1873.21428572"
12512770;2;"21.0";"4.25";"2619.03571428"
12512774;1;"68.5";"2.0";"1873.22321429"
12512777;3;"19.5";"2.25";"1660.71428572"
