id,parent_id,type,name,original_id,full_address,coordX,coordY
64,3.0,street,МРАМОРНЫЙ,89685,"Карагандинская область, г.Караганда, г.Караганда, МРАМОРНЫЙ",,
65,3.0,street,НЕВСКИЙ,89690,"Карагандинская область, г.Караганда, г.Караганда, НЕВСКИЙ",,
66,3.0,street,Оршанский,89696,"Карагандинская область, г.Караганда, г.Караганда, Оршанский",,
67,3.0,street,РАДИО,89710,"Карагандинская область, г.Караганда, г.Караганда, РАДИО",,
68,3.0,street,СЕЛЬСКИЙ,89723,"Карагандинская область, г.Караганда, г.Караганда, СЕЛЬСКИЙ",,
69,3.0,street,РЯЖСКИЙ,88258,"Карагандинская область, г.Караганда, г.Караганда, РЯЖСКИЙ",,
70,3.0,street,99АРХИВ_СИРЕНЕВЫЙ,88265,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_СИРЕНЕВЫЙ",,
71,3.0,street,СТАРТОВЫЙ,88272,"Карагандинская область, г.Караганда, г.Караганда, СТАРТОВЫЙ",,
72,3.0,street,99АРХИВ_СЫЗРАНСКИЙ,88273,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_СЫЗРАНСКИЙ",,
73,3.0,street,ТВЕРСКОЙ,88274,"Карагандинская область, г.Караганда, г.Караганда, ТВЕРСКОЙ",,
74,3.0,street,ТОВАРИЩЕСКИЙ,88277,"Карагандинская область, г.Караганда, г.Караганда, ТОВАРИЩЕСКИЙ",,
75,3.0,street,УТРЕННИЙ,88284,"Карагандинская область, г.Караганда, г.Караганда, УТРЕННИЙ",,
76,3.0,street,99АРХИВ_ФУЧИКА,88287,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ФУЧИКА",,
77,3.0,street,ХОРОВОЙ,88288,"Карагандинская область, г.Караганда, г.Караганда, ХОРОВОЙ",,
78,3.0,street,УЛАНСКИЙ,89741,"Карагандинская область, г.Караганда, г.Караганда, УЛАНСКИЙ",,
79,3.0,street,ХВОЙНЫЙ,89746,"Карагандинская область, г.Караганда, г.Караганда, ХВОЙНЫЙ",,
80,3.0,street,ЦЕНТРАЛЬНЫЙ,89749,"Карагандинская область, г.Караганда, г.Караганда, ЦЕНТРАЛЬНЫЙ",,
81,3.0,street,ЖЕМЧУЖНЫЙ,89775,"Карагандинская область, г.Караганда, г.Караганда, ЖЕМЧУЖНЫЙ",,
82,3.0,street,ЭНТУЗИАСТОВ,87403,"Карагандинская область, г.Караганда, г.Караганда, ЭНТУЗИАСТОВ",,
83,3.0,street,СМЕЛЫЙ,88311,"Карагандинская область, г.Караганда, г.Караганда, СМЕЛЫЙ",,
84,3.0,street,ЛИТОВСКИЙ,88314,"Карагандинская область, г.Караганда, г.Караганда, ЛИТОВСКИЙ",,
85,3.0,street,АВРОРА,88316,"Карагандинская область, г.Караганда, г.Караганда, АВРОРА",,
86,3.0,street,БЕРЕГОВОЙ,89100,"Карагандинская область, г.Караганда, г.Караганда, БЕРЕГОВОЙ",,
87,3.0,street,БУЛЬВАРНЫЙ,89103,"Карагандинская область, г.Караганда, г.Караганда, БУЛЬВАРНЫЙ",,
88,3.0,street,БИЙСКИЙ,89104,"Карагандинская область, г.Караганда, г.Караганда, БИЙСКИЙ",,
89,3.0,street,99АРХИВ_ДОРОЖНЫЙ,89122,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ДОРОЖНЫЙ",,
90,3.0,street,99АРХИВ_ЗЕЛЕНЫЙ,89128,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ЗЕЛЕНЫЙ",,
91,3.0,street,КИРПИЧНЫЙ,89135,"Карагандинская область, г.Караганда, г.Караганда, КИРПИЧНЫЙ",,
92,3.0,street,99АРХИВ_КОКЧЕТАВСКИЙ,89136,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_КОКЧЕТАВСКИЙ",,
93,3.0,street,КУСТАНАЙСКИЙ,89146,"Карагандинская область, г.Караганда, г.Караганда, КУСТАНАЙСКИЙ",,
94,3.0,street,КООПЕРАТИВНЫЙ,89147,"Карагандинская область, г.Караганда, г.Караганда, КООПЕРАТИВНЫЙ",,
95,3.0,street,КОШЕВОГО,89148,"Карагандинская область, г.Караганда, г.Караганда, КОШЕВОГО",,
96,3.0,street,ЛЕСНОЙ,89151,"Карагандинская область, г.Караганда, г.Караганда, ЛЕСНОЙ",,
97,3.0,street,ОЧЕРЕДНОЙ,89177,"Карагандинская область, г.Караганда, г.Караганда, ОЧЕРЕДНОЙ",,
98,3.0,street,СКВОЗНОЙ,89205,"Карагандинская область, г.Караганда, г.Караганда, СКВОЗНОЙ",,
99,3.0,street,ТЮЛЕНИНА,89220,"Карагандинская область, г.Караганда, г.Караганда, ТЮЛЕНИНА",,
100,3.0,street,ХИМИЧЕСКИЙ,89227,"Карагандинская область, г.Караганда, г.Караганда, ХИМИЧЕСКИЙ",,
101,3.0,street,ЦВЕТОЧНЫЙ,89229,"Карагандинская область, г.Караганда, г.Караганда, ЦВЕТОЧНЫЙ",,
102,3.0,street,ЗЕЛЕНЫЙ 1,88552,"Карагандинская область, г.Караганда, г.Караганда, ЗЕЛЕНЫЙ 1",,
103,3.0,street,ЗЕЛЕНЫЙ 6,88553,"Карагандинская область, г.Караганда, г.Караганда, ЗЕЛЕНЫЙ 6",,
104,3.0,street,99АРХИВ_БАГРИЦКОГО,88557,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_БАГРИЦКОГО",,
105,3.0,street,ЗЕЛЕНЫЙ 4,90002,"Карагандинская область, г.Караганда, г.Караганда, ЗЕЛЕНЫЙ 4",,
106,3.0,street,ЗЕЛЕНЫЙ 7,90007,"Карагандинская область, г.Караганда, г.Караганда, ЗЕЛЕНЫЙ 7",,
107,3.0,street,ЛАЗАРЕВЫЙ,90052,"Карагандинская область, г.Караганда, г.Караганда, ЛАЗАРЕВЫЙ",,
108,3.0,street,АЛМАЗНЫЙ,88603,"Карагандинская область, г.Караганда, г.Караганда, АЛМАЗНЫЙ",,
109,3.0,street,БАТУМСКИЙ,88611,"Карагандинская область, г.Караганда, г.Караганда, БАТУМСКИЙ",,
110,3.0,street,Вишневского,88623,"Карагандинская область, г.Караганда, г.Караганда, Вишневского",,
111,3.0,street,ГУРЬЕВСКИЙ,88628,"Карагандинская область, г.Караганда, г.Караганда, ГУРЬЕВСКИЙ",,
112,3.0,street,99АРХИВ_ДАЛЬНИЙ,88634,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ДАЛЬНИЙ",,
113,3.0,street,КРАСЮКОВА,88654,"Карагандинская область, г.Караганда, г.Караганда, КРАСЮКОВА",,
114,3.0,street,КАЛЕНДАРНЫЙ,88659,"Карагандинская область, г.Караганда, г.Караганда, КАЛЕНДАРНЫЙ",,
115,3.0,street,КОЛЬСКИЙ,88660,"Карагандинская область, г.Караганда, г.Караганда, КОЛЬСКИЙ",,
116,3.0,street,99АРХИВ_КРИВОЙ,88661,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_КРИВОЙ",,
117,3.0,street,ЗЕЛЕНЫЙ 10,87763,"Карагандинская область, г.Караганда, г.Караганда, ЗЕЛЕНЫЙ 10",,
118,3.0,street,МОДЕЛЬНЫЙ,88675,"Карагандинская область, г.Караганда, г.Караганда, МОДЕЛЬНЫЙ",,
119,3.0,street,МАРШАКА,88679,"Карагандинская область, г.Караганда, г.Караганда, МАРШАКА",,
120,3.0,street,Норильский,88683,"Карагандинская область, г.Караганда, г.Караганда, Норильский",,
121,3.0,street,ОБЩЕСТВЕННЫЙ,88689,"Карагандинская область, г.Караганда, г.Караганда, ОБЩЕСТВЕННЫЙ",,
122,3.0,street,ПРОЛЕТАРСКИЙ,88701,"Карагандинская область, г.Караганда, г.Караганда, ПРОЛЕТАРСКИЙ",,
123,3.0,street,99АРХИВ_РАКЕТНЫЙ,88704,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_РАКЕТНЫЙ",,
124,3.0,street,РЕМЕСЛЕННЫЙ,88707,"Карагандинская область, г.Караганда, г.Караганда, РЕМЕСЛЕННЫЙ",,
125,3.0,street,99АРХИВ_РУДНИЧНЫЙ,88709,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_РУДНИЧНЫЙ",,
126,3.0,street,СВОБОДНЫЙ,88714,"Карагандинская область, г.Караганда, г.Караганда, СВОБОДНЫЙ",,
127,3.0,street,ЗЕЛЕНЫЙ 9,89491,"Карагандинская область, г.Караганда, г.Караганда, ЗЕЛЕНЫЙ 9",,
128,3.0,street,999_СОВЕТСКИЙ,90294,"Карагандинская область, г.Караганда, г.Караганда, 999_СОВЕТСКИЙ",,
129,3.0,street,БУЛАВИНА,86453,"Карагандинская область, г.Караганда, г.Караганда, БУЛАВИНА",,
130,3.0,street,ВЫБОРНЫЙ,86459,"Карагандинская область, г.Караганда, г.Караганда, ВЫБОРНЫЙ",,
131,3.0,street,Плотничный,88702,"Карагандинская область, г.Караганда, г.Караганда, Плотничный",,
132,3.0,street,99АРХИВ_СМЕННЫЙ,88717,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_СМЕННЫЙ",,
133,3.0,street,99АРХИВ_АЛТАЙСКИЙ,89772,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_АЛТАЙСКИЙ",,
134,3.0,street,ЯБЛОЧНЫЙ,89762,"Карагандинская область, г.Караганда, г.Караганда, ЯБЛОЧНЫЙ",,
135,3.0,street,99АРХИВ_ЖУКОВСКОГО,89125,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ЖУКОВСКОГО",,
136,3.0,street,99АРХИВ_КАРЛА ЛИБКНЕХТА,87462,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_КАРЛА ЛИБКНЕХТА",,
137,3.0,street,РУБЦОВСКИЙ,88711,"Карагандинская область, г.Караганда, г.Караганда, РУБЦОВСКИЙ",,
138,3.0,street,АЧИНСКИЙ,86601,"Карагандинская область, г.Караганда, г.Караганда, АЧИНСКИЙ",,
139,3.0,street,Кольцевой,88198,"Карагандинская область, г.Караганда, г.Караганда, Кольцевой",,
140,3.0,street,999_РУЛЕВОЙ,88710,"Карагандинская область, г.Караганда, г.Караганда, 999_РУЛЕВОЙ",,
141,3.0,street,99АРХИВ_ИЛИЙСКИЙ,88641,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ИЛИЙСКИЙ",,
142,3.0,street,КОНТОРСКИЙ,88662,"Карагандинская область, г.Караганда, г.Караганда, КОНТОРСКИЙ",,
143,3.0,street,99АРХИВ_РОЗОВЫЙ,88708,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_РОЗОВЫЙ",,
144,3.0,street,99АРХИВ_СОВЕТСКИЙ,88718,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_СОВЕТСКИЙ",,
145,3.0,street,УНИВЕРСИТЕТСКИЙ,88764,"Карагандинская область, г.Караганда, г.Караганда, УНИВЕРСИТЕТСКИЙ",,
146,3.0,street,ПАНОРАМНЫЙ,88052,"Карагандинская область, г.Караганда, г.Караганда, ПАНОРАМНЫЙ",,
147,3.0,street,99АРХИВ_ШИРШОВА,89235,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ШИРШОВА",,
148,3.0,street,ЕРУБАЕВА,86484,"Карагандинская область, г.Караганда, г.Караганда, ЕРУБАЕВА",,
149,3.0,street,99АРХИВ_КЛУБНАЯ,86485,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_КЛУБНАЯ",,
150,3.0,street,КОНСТРУКТОРСКАЯ,86488,"Карагандинская область, г.Караганда, г.Караганда, КОНСТРУКТОРСКАЯ",,
151,3.0,street,КОРОЛЕНКО,86489,"Карагандинская область, г.Караганда, г.Караганда, КОРОЛЕНКО",,
152,3.0,street,КОЦЮБИНСКОГО,86490,"Карагандинская область, г.Караганда, г.Караганда, КОЦЮБИНСКОГО",,
153,3.0,street,99АРХИВ_КРИВОРОЖСКАЯ,86492,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_КРИВОРОЖСКАЯ",,
154,3.0,street,КРЫЛОВА,86493,"Карагандинская область, г.Караганда, г.Караганда, КРЫЛОВА",,
155,3.0,street,99АРХИВ_ЛАЗУРНАЯ,86499,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ЛАЗУРНАЯ",,
156,3.0,street,ЛИПЕЦКАЯ,86501,"Карагандинская область, г.Караганда, г.Караганда, ЛИПЕЦКАЯ",,
157,3.0,street,ЛОКОМОТИВНАЯ,86502,"Карагандинская область, г.Караганда, г.Караганда, ЛОКОМОТИВНАЯ",,
158,3.0,street,99АРХИВ_МАЙКУДУКСКОЕ ШОССЕ,86505,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_МАЙКУДУКСКОЕ ШОССЕ",,
159,3.0,street,МАНУИЛЬСКОГО,86506,"Карагандинская область, г.Караганда, г.Караганда, МАНУИЛЬСКОГО",,
160,3.0,street,99АРХИВ_МАРИАНЫ,86507,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_МАРИАНЫ",,
161,3.0,street,99АРХИВ_МАШИНОСТРОИТЕЛЬНАЯ,86508,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_МАШИНОСТРОИТЕЛЬНАЯ",,
162,3.0,street,МЕТАЛЛИСТОВ,86510,"Карагандинская область, г.Караганда, г.Караганда, МЕТАЛЛИСТОВ",,
163,3.0,street,МИР.ТРУДА,86511,"Карагандинская область, г.Караганда, г.Караганда, МИР.ТРУДА",,
164,3.0,street,МОЖАЙСКОГО,86512,"Карагандинская область, г.Караганда, г.Караганда, МОЖАЙСКОГО",,
165,3.0,street,МОНТАЖНАЯ,86513,"Карагандинская область, г.Караганда, г.Караганда, МОНТАЖНАЯ",,
166,3.0,street,МОСТОВАЯ,86514,"Карагандинская область, г.Караганда, г.Караганда, МОСТОВАЯ",,
167,3.0,street,МУСОРГСКОГО,86515,"Карагандинская область, г.Караганда, г.Караганда, МУСОРГСКОГО",,
168,3.0,street,МУСИНА,86516,"Карагандинская область, г.Караганда, г.Караганда, МУСИНА",,
169,3.0,street,Жагалау,86517,"Карагандинская область, г.Караганда, г.Караганда, Жагалау",,
170,3.0,street,НЕРЧЕНСКАЯ,86518,"Карагандинская область, г.Караганда, г.Караганда, НЕРЧЕНСКАЯ",,
171,3.0,street,НОВОСИБИРСКАЯ,86519,"Карагандинская область, г.Караганда, г.Караганда, НОВОСИБИРСКАЯ",,
172,3.0,street,Казбека Нуржанова,86520,"Карагандинская область, г.Караганда, г.Караганда, Казбека Нуржанова",,
173,3.0,street,99АРХИВ_ОБОГОТИТЕЛЬНАЯ,86521,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ОБОГОТИТЕЛЬНАЯ",,
174,3.0,street,99АРХИВ_ОЗЕРНАЯ,86522,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ОЗЕРНАЯ",,
175,3.0,street,Талды,86525,"Карагандинская область, г.Караганда, г.Караганда, Талды",,
176,3.0,street,ОГАРЕВА,86526,"Карагандинская область, г.Караганда, г.Караганда, ОГАРЕВА",,
177,3.0,street,99АРХИВ_ПАРХОМЕНКО,86528,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ПАРХОМЕНКО",,
178,3.0,street,ПЕСТЕЛЯ,86529,"Карагандинская область, г.Караганда, г.Караганда, ПЕСТЕЛЯ",,
179,3.0,street,ПИРОГОВА,86530,"Карагандинская область, г.Караганда, г.Караганда, ПИРОГОВА",,
180,3.0,street,ПЛЕХАНОВА,86531,"Карагандинская область, г.Караганда, г.Караганда, ПЛЕХАНОВА",,
181,3.0,street,ПОЖАРСКОГО,86532,"Карагандинская область, г.Караганда, г.Караганда, ПОЖАРСКОГО",,
182,3.0,street,ПОЛЮСНАЯ,86533,"Карагандинская область, г.Караганда, г.Караганда, ПОЛЮСНАЯ",,
183,3.0,street,Саяхат,86534,"Карагандинская область, г.Караганда, г.Караганда, Саяхат",,
184,3.0,street,ПОЧТОВАЯ,86535,"Карагандинская область, г.Караганда, г.Караганда, ПОЧТОВАЯ",,
185,3.0,street,ПУТЕЙСКАЯ,86539,"Карагандинская область, г.Караганда, г.Караганда, ПУТЕЙСКАЯ",,
186,3.0,street,РАДИЩЕВА,86540,"Карагандинская область, г.Караганда, г.Караганда, РАДИЩЕВА",,
187,3.0,street,99АРХИВ_РАКЕТНАЯ,86541,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_РАКЕТНАЯ",,
188,3.0,street,РАЦИОНАЛИЗАТОРОВ,86542,"Карагандинская область, г.Караганда, г.Караганда, РАЦИОНАЛИЗАТОРОВ",,
189,3.0,street,РЫСКУЛОВА,86543,"Карагандинская область, г.Караганда, г.Караганда, РЫСКУЛОВА",,
190,3.0,street,РЕЧНАЯ,86544,"Карагандинская область, г.Караганда, г.Караганда, РЕЧНАЯ",,
191,3.0,street,ЛЮКСЕМБУРГ Р.,86545,"Карагандинская область, г.Караганда, г.Караганда, ЛЮКСЕМБУРГ Р.",,
192,3.0,street,РУСТАВЕЛИ Ш.,86547,"Карагандинская область, г.Караганда, г.Караганда, РУСТАВЕЛИ Ш.",,
193,3.0,street,99АРХИВ_САКО-ВАНЦЕТИ,86549,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_САКО-ВАНЦЕТИ",,
194,3.0,street,САРСЕКОВА,86550,"Карагандинская область, г.Караганда, г.Караганда, САРСЕКОВА",,
195,3.0,street,ВОИНОВ ИНТЕРНАЦИОНАЛИСТОВ,86551,"Карагандинская область, г.Караганда, г.Караганда, ВОИНОВ ИНТЕРНАЦИОНАЛИСТОВ",,
196,3.0,street,СВОДНАЯ,86552,"Карагандинская область, г.Караганда, г.Караганда, СВОДНАЯ",,
197,3.0,street,СЕЧЕНОВА,86553,"Карагандинская область, г.Караганда, г.Караганда, СЕЧЕНОВА",,
198,3.0,street,СМОЛЕНСКАЯ,86554,"Карагандинская область, г.Караганда, г.Караганда, СМОЛЕНСКАЯ",,
199,3.0,street,СЕРИКБАЕВА,86555,"Карагандинская область, г.Караганда, г.Караганда, СЕРИКБАЕВА",,
200,3.0,street,СОРЕВНОВАНИЯ,86556,"Карагандинская область, г.Караганда, г.Караганда, СОРЕВНОВАНИЯ",,
201,3.0,street,СТАНЦИОННАЯ,86558,"Карагандинская область, г.Караганда, г.Караганда, СТАНЦИОННАЯ",,
202,3.0,street,СТОЛИЧНАЯ,86559,"Карагандинская область, г.Караганда, г.Караганда, СТОЛИЧНАЯ",,
203,3.0,street,ЧИЖЕВСКОГО,86563,"Карагандинская область, г.Караганда, г.Караганда, ЧИЖЕВСКОГО",,
204,3.0,street,ТЕЛЬМАНА,86564,"Карагандинская область, г.Караганда, г.Караганда, ТЕЛЬМАНА",,
205,3.0,street,ТОВАРНАЯ,86566,"Карагандинская область, г.Караганда, г.Караганда, ТОВАРНАЯ",,
206,3.0,street,ТУРГЕНЕВА,86569,"Карагандинская область, г.Караганда, г.Караганда, ТУРГЕНЕВА",,
207,3.0,street,УКРАИНСКАЯ,86571,"Карагандинская область, г.Караганда, г.Караганда, УКРАИНСКАЯ",,
208,3.0,street,УЧЕБНАЯ,86573,"Карагандинская область, г.Караганда, г.Караганда, УЧЕБНАЯ",,
209,3.0,street,ФАДЕЕВА,86574,"Карагандинская область, г.Караганда, г.Караганда, ФАДЕЕВА",,
210,3.0,street,99АРХИВ_ФЛОТСКАЯ,86575,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ФЛОТСКАЯ",,
