id,parent_id,type,name,tree,path
2156,2151.0,street,ЮБИЛЕЙНОЕ УЛ. АМАНГЕЛЬДЫ,      ЮБИЛЕЙНОЕ УЛ. АМАНГЕЛЬДЫ,Карагандинская область > Абайский район > с.Юбилейное > ЮБИЛЕЙНОЕ УЛ. АМАНГЕЛЬДЫ
2157,2151.0,street,ЮБИЛЕЙНОЕ УЛ. ЛЕНИНА,      ЮБИЛЕЙНОЕ УЛ. ЛЕНИНА,Карагандинская область > Абайский район > с.Юбилейное > ЮБИЛЕЙНОЕ УЛ. ЛЕНИНА
2158,2151.0,street,С.ЮБИЛЕЙНОЕ,      С.ЮБИЛЕЙНОЕ,Карагандинская область > Абайский район > с.Юбилейное > С.ЮБИЛЕЙНОЕ
2159,2151.0,street,ЮБИЛЕЙНОЕ УЛ.МИРА,      ЮБИЛЕЙНОЕ УЛ.МИРА,Карагандинская область > Абайский район > с.Юбилейное > ЮБИЛЕЙНОЕ УЛ.МИРА
2160,2151.0,street,ЮБИЛЕЙНОЕ ПЕР.ЗЕЛЕНЫЙ,      ЮБИЛЕЙНОЕ ПЕР.ЗЕЛЕНЫЙ,Карагандинская область > Абайский район > с.Юбилейное > ЮБИЛЕЙНОЕ ПЕР.ЗЕЛЕНЫЙ
2161,2151.0,street,ЮБИЛЕЙНОЕ УЛ.ГАГАРИНА,      ЮБИЛЕЙНОЕ УЛ.ГАГАРИНА,Карагандинская область > Абайский район > с.Юбилейное > ЮБИЛЕЙНОЕ УЛ.ГАГАРИНА
2162,2151.0,street,ЮБИЛЕЙНОЕ УЛ.МЕХАНИЗАТОРОВ,      ЮБИЛЕЙНОЕ УЛ.МЕХАНИЗАТОРОВ,Карагандинская область > Абайский район > с.Юбилейное > ЮБИЛЕЙНОЕ УЛ.МЕХАНИЗАТОРОВ
2163,2151.0,street,ЮБИЛЕЙНОЕ УЛ.АБАЯ,      ЮБИЛЕЙНОЕ УЛ.АБАЯ,Карагандинская область > Абайский район > с.Юбилейное > ЮБИЛЕЙНОЕ УЛ.АБАЯ
2164,2151.0,street,ЮБИЛЕЙНОЕ УЛ. МИЧУРИНА,      ЮБИЛЕЙНОЕ УЛ. МИЧУРИНА,Карагандинская область > Абайский район > с.Юбилейное > ЮБИЛЕЙНОЕ УЛ. МИЧУРИНА
2165,2151.0,street,ЮБИЛЕЙНОЕ УЛ. КАЗАХСТАНСКАЯ,      ЮБИЛЕЙНОЕ УЛ. КАЗАХСТАНСКАЯ,Карагандинская область > Абайский район > с.Юбилейное > ЮБИЛЕЙНОЕ УЛ. КАЗАХСТАНСКАЯ
